ID,YEAR,INCOM16,CONINC,DEGREE,PADEG,MADEG,SPDEG,MAWRKGRW,FEFAM,FECHLD,CONPRESS,CONJUDGE,CONLEGIS,GOD,HAPPY,NATENVIY,EQWLTH,ABANY,CAPPUN,RES16,NATEDUCY
633,1976,4,90726,3,1,1,3,0,0,0,2,2,3,0,2,0,0,0,1,1,0
1392,1976,2,35471,0,0,0,0,0,0,0,1,3,3,0,3,0,0,0,1,1,0
1006,1976,3,21283,1,1,3,7,0,0,0,9,1,2,0,2,0,0,0,8,5,0
1747,1976,2,18445,4,0,0,7,0,0,0,3,1,2,0,2,0,0,0,1,2,0
663,1976,3,49659,1,0,7,1,0,0,0,2,2,2,0,2,0,0,0,1,3,0
144,1976,8,5675,0,7,1,7,0,0,0,3,3,3,0,2,0,0,0,1,4,0
1455,1976,2,9932,1,7,1,3,0,0,0,2,2,2,0,3,0,0,0,1,4,0
695,1976,2,35471,1,0,7,1,0,0,0,2,2,2,0,2,0,0,0,1,2,0
22,1976,2,12770,0,0,0,7,0,0,0,2,2,2,0,2,0,0,0,1,6,0
1449,1976,3,15607,1,0,0,0,0,0,0,3,9,1,0,2,0,0,0,1,1,0
1369,1976,2,35471,1,0,0,1,0,0,0,2,2,2,0,2,0,0,0,1,4,0
472,1976,3,35471,0,0,0,0,0,0,0,8,2,1,0,1,0,0,0,8,2,0
343,1976,3,90726,1,1,1,2,0,0,0,3,2,3,0,1,0,0,0,1,6,0
1559,1976,3,0,1,0,0,7,0,0,0,2,3,3,0,3,0,0,0,1,3,0
222,1976,3,5675,0,0,0,7,0,0,0,2,1,2,0,3,0,0,0,1,2,0
1732,1976,3,90726,1,0,1,1,0,0,0,2,2,2,0,2,0,0,0,1,2,0
8,1976,2,35471,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,2,4,0
1094,1976,5,1419,0,0,1,7,0,0,0,3,3,3,0,2,0,0,0,2,2,0
1549,1976,3,63848,1,7,1,3,0,0,0,2,1,2,0,1,0,0,0,1,4,0
1116,1976,4,49659,4,4,4,7,0,0,0,2,2,3,0,2,0,0,0,2,5,0
527,1976,3,49659,1,0,8,2,0,0,0,2,1,3,0,1,0,0,0,1,3,0
85,1976,2,49659,1,0,0,1,0,0,0,2,2,2,0,2,0,0,0,1,5,0
1270,1976,3,9932,0,0,0,7,0,0,0,1,1,2,0,3,0,0,0,2,6,0
11,1976,1,90726,0,7,0,7,0,0,0,2,1,2,0,2,0,0,0,2,4,0
1025,1976,3,49659,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,1,1,0
1689,1976,3,0,1,0,0,1,0,0,0,3,2,3,0,2,0,0,0,1,3,0
1269,1976,4,15607,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,1,4,0
316,1976,4,90726,4,3,1,2,0,0,0,2,1,2,0,1,0,0,0,1,5,0
1357,1976,3,35471,0,8,8,0,0,0,0,3,2,2,0,2,0,0,0,1,3,0
1643,1976,2,15607,0,0,8,0,0,0,0,1,2,1,0,1,0,0,0,1,2,0
1393,1976,2,12770,0,0,0,0,0,0,0,3,3,2,0,3,0,0,0,1,2,0
293,1976,2,18445,0,8,0,2,0,0,0,1,1,2,0,3,0,0,0,1,6,0
